original	translated
Action	Action
Arcade	Arcade
Autre	Other
Aventure	Adventure
Boutique	Shop
Combat	Fighting
Communication	Communication
Course	Racing
FPS (tir en vue subjective)	First-Person Shooter
Jeu de plateau	Board Game
Jeu de rôles	RPG
Jeu de société	Party
Jeu de tir	Shooter
Logiciel pratique	Utility
Multijoueur	Multiplayer
Musique	Music
Outil système	System Tool
Plateformes	Platformer
Réflexion	Puzzle
Simulation	Simulation
Sport	Sports
Stratégie	Strategy
Study	Study
Style de vie	Lifestyle
Training	Training
Éducation	Education
