original	translated
Arcada	Arcade
Aventura	Adventure
Ação	Action
Comunicação	Communication
Corridas	Racing
Desporto	Sports
Educacional	Education
Estilo de Vida	Lifestyle
Estratégia	Strategy
Ferramentas da Consola	Tools
Festa	Party
Jogo de Tabuleiro	Board Game
Loja	Shops
Luta	Fighting
Multijogadores	Multiplayer
Música	Music
Outro	Other
Plataformas	Platformer
Puzzle	Puzzle
RPG	RPG
Shooter na Primeira Pessoa	First-Person Shooter
Shooter	Shooter
Simulação	Simulation
Study	Study
Training	Training
Utilitário	Utility
