original	translated
Altro	Other
Applicazione	Application
Arcade	Arcade
Avventura	Adventure
Azione	Action
Comunicazione	Communication
Corse	Racing
Da tavolo	Board Game
Educativo	Education
Gioco di ruolo (RPG)	RPG
Lifestyle	Lifestyle
Multiplayer	Multiplayer
Musica	Music
Party	Party
Piattaforme	Platformer
Picchiaduro	Fighting
Puzzle	Puzzle
Shop	Shops
Simulazione	Simulation
Sparatutto in prima persona	First-Person Shooter
Sparatutto	Shooter
Sport	Sports
Strategia	Strategy
Study	Study
Training	Training
Utilità di sistema	Utility
