original	translated
Acción	Action
Acción en primera persona	First-Person Shooter
Actualizaciones	Updates
Aprendizaje	Study
Arcade	Arcade
Aventura	Adventure
Carreras	Racing
Comunicación	Communication
Deportes	Sports
Disparos	Shooter
Educativo	Education
Entrenamiento	Training
Estilo de vida	Lifestyle
Estrategia	Strategy
Fiesta	Party
Herramientas	Herramientas
Juego de mesa	Board Game
Juego de rol	RPG
Multijugador	Multiplayer
Música	Music
Otros	Other
Peleas	Fighting
Plataformas	Platformer
Rompecabezas	Puzzle
Simulación	Simulación
Utilidades	Utility
Video	Video
