original	translated
Aprendizagem	Learning
Arcade	Arcade
Atualizações	Updates
Aventura	Aventura
Ação	Action
Corrida	Racing
Educativo	Education
Esporte	Sports
Estilo de vida	Lifestyle
Estratégia	Strategy
Ferramentas de comunicação	Communication
Grupo	Party
Luta	Fighting
Multijogador	Multiplayer
Música	Music
Outros	Other
Plataforma	Platformer
Praticidade	Practical
Puzzle	Puzzle
RPG	RPG
Simulação	Simulation
Tabuleiro	Board Game
Tiro em primeira pessoa (FPS)	First-Person Shooter
Tiro	Shooter
Treinamento	Training
Utilidades	Utility
Vídeo	Vídeo
