original	translated
Action	Action
Adventure	Adventure
Andere	Other
Arcade	Arcade
Brettspiel	Board Game
First-Person-Shooter	First-Person Shooter
Hilfsanwendung	Utility
Kampf	Fighting
Kommunikation	Communication
Lernspiel	Education
Lifestyle	Lifestyle
Mehrspieler	Multiplayer
Musik	Music
Party	Party
Platformer	Platformer
Puzzle	Puzzle
RPG	RPG
Rennspiel	Racing
Shooter	Shooter
Shops	Shops
Simulation	Simulation
Sport	Sport
Strategie	Strategy
Study	Study
Systemanwendung	System application
Training	Training
