original	translated
Acción en primera persona	First-Person Shooter
Acción	Action
Actualizaciones	Updates
Aprendizaje	Learning
Arcade	Arcade
Aventura	Adventure
Carreras	Racing
Comunicación	Communication
Deportes	Sports
Disparos	Shooter
Educativo	Education
Entrenamiento	Training
Estilo de vida	Lifestyle
Estrategia	Strategy
Fiesta	Party
Herramientas	Tools
Juego de mesa	Board Game
Juego de rol	RPG
Multijugador	Multiplayer
Música	Music
Otros	Other
Peleas	Fighting
Plataformas	Platformer
Rompecabezas	Puzzle
Simulación	Simulation
Utilidades	Utility
Video	Video
