original	translated
Action	Action
Apprentissage	Learning
Arcade	Arcade
Autre	Other
Aventure	Adventure
Casse-tête	Puzzle
Combat	Fighting
Communication	Communication
Course	Racing
Entraînement	Training
FPS (tir en vue subjective)	First-Person Shooter
Jeu de fête	Party
Jeu de plateformes	Platformer
Jeu de rôles	RPG
Jeu de société	Board Game
Jeu de tir	Shooter
Mises à jour	Updates
Multijoueur	Multiplayer
Musique	Music
Pratique	Practical
Simulation	Simulation
Sport	Sports
Stratégie	Strategy
Style de vie	Lifestyle
Utilitaire	Utility
Vidéo	Video
Éducation	Education
