original	translated
Action	Action
Adventure	Adventure
Arcade	Arcade
Application	Application
Board Game	Board Game
Co-op	Co-op
Communication	Communication
Education	Education
Female	Female
Family	Family
Fighting	Fighting
First-Person Shooter	First-Person Shooter
Learning	Learning
Lifestyle	Lifestyle
Multiplayer	Multiplayer
Music	Music
Other	Other
Party	Party
Platformer	Platformer
Practical	Practical
Puzzle	Puzzle
RPG	RPG
Racing	Racing
Shooter	Shooter
Simulation	Simulation
Shops	Shops
Sports	Sports
Strategy	Strategy
Study	Study
System Tool	System Tool
System Application	System Application
Tools	Tools
Training	Training
Updates	Updates
Utility	Utility
Video	Video
