original	translated
Actiespel	Action
Anders	Other
Avonturenspel	Adventure
Bordspel	Board Game
Communicatie	Communication
Educatief spel	Education
Eerste-persoonsschietspel	First-Person Shooter
Lifestyle	Lifestyle
Multiplayer	Multiplayer
Muziek	Music
Party	Party
Platformspel	Platformer
Praktisch	Practical
Puzzelspel	Puzzle
RPG	RPG
Racespel	Racing
Schietspel	Shooter
Simulatiespel	Simulation
Speelhalspel	Arcade
Sportspel	Sports
Strategiespel	Strategy
Study	Study
Systeemapplicaties	System Application
Training	Training
Vechtspel	Fighting
Winkel	Shops
